ACT_FLOW_ITEM_DATA|新增用血申请单主表
APP_APPLY_EXEC_RECORDS|新增单据执行记录表
APP_APPLY_SHEET_EXTEND|新增单据执行记录表
APP_DEPT_LAY_DRUG_DETAIL|新增基本字典信息
APP_DEPT_LAY_DRUG_MASTER|新增住院摆药池记录表
APP_DEPT_LAY_DRUG_SUM|新增住院摆药池记录表
APP_DEPT_RETURN_DRUG_SUM|新增科室退药汇总记录
APP_DEPT_SOLVENT_DRUG_DETAIL|新增溶剂汇总发药细表
APP_DEPT_SOLVENT_DRUG_MASTER|新增溶剂汇总发药细表
APP_EXAM_ITEM_PART_DETAIL|删除诊疗绑定药品信息
APP_HERP_HIS_CONTACT|单据查询语法
APP_INFUSION_DELIVERY_REGISTER_DETAIL|新增溶剂汇总发药细表
APP_INFUSION_DELIVERY_REGISTER_MASTER|新增溶剂汇总发药细表
APP_INP_APPLY_SHEET|新增单据执行记录表
APP_INP_APPLY_SHEET_DETAIL|新增诊疗与收费项目对照表
APP_INP_APPLY_SHEET_DETAIL_PL|新增诊疗与收费项目对照表
APP_INP_APPLY_SHEET_POOL|自动作废过期药品（药品库存）
APP_INP_EXCEPT_MTRL_USED|新增住院除外材料使用记录
APP_INP_HERB_BOIL_MEDICINE|新增住院摆药池记录表
APP_INP_LAY_DRUG_POOL|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
APP_INP_LAY_DRUG_RECORDS|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
APP_INP_SHEET_EXEC_MODIFY|单据查询语法
APP_LAY_PHYSIC_RECORDS_VEIN|按床位位置（楼层）过滤摆药池
APP_LAY_PRINT_RECORDS|获取并单号申请单
APP_LERP_HIS_CONTACT|新增科室诊疗与材料对照表
APP_OUPT_APPLY_TO_INP|新增门诊单据转入住院表
APP_OUPT_LAY_DRUG_TO_INP|新增门诊摆药单转入住院表
APP_OUTP_APPLY_SHEET|删除诊疗绑定药品信息
APP_OUTP_APPLY_SHEET_DETAIL|新增诊疗与收费项目对照表
APP_OUTP_APPLY_SHEET_DETAIL_PL|新增诊疗与收费项目对照表
APP_OUTP_APPLY_SHEET_POOL|自动作废过期药品（药品库存）
APP_OUTP_EXCEPT_MTRL_USED|新增门诊除外材料使用记录
APP_OUTP_INFUSION_CONFECT|新增门诊输液配置表
APP_OUTP_LAY_DRUG_POOL|获取窗口
APP_OUTP_LAY_DRUG_POOL_EXAMINA|新增门诊摆药表
APP_OUTP_LAY_DRUG_RECORDS|获取窗口
APP_OUTP_PRINT_LOG|新增门诊摆药窗口字典实体
APP_OUTP_STATIC_DROP_BILL|新增门诊摆药表
APP_PATHOLOGICAL_TEMPLATE_DETAIL|新增病理申请单记录表
APP_PATHOLOGICAL_TEMPLATE_MASTER|新增病理申请单记录表
APP_REFUND_DETAIL|新增高值耗材消费表
APP_REFUND_MASTER|新增票据使用记录
APP_REPORT_RETURN_RECORD|新增单据执行记录表
APP_RETURN_DRUG_DETAIL|新增药品账页表
APP_RETURN_DRUG_MASTER|获取窗口
APP_SPD_LOW_CONSUMABLES_STORE|SpdLowConsumablesStore对象
APPLAY_PHYSIC_RECORDS_VEIN|静滴配置表
APT_CALL_RECORD|新增呼叫记录表
APT_DOCTOR_SCHEDULE_DETAIL|新增门诊医生排班细表
APT_DOCTOR_SCHEDULE_MASTER|新增门诊医生排班替班记录
APT_DOCTOR_SCHEDULE_SUBSTITUTE|新增门诊医生排班替班记录
APT_DOCTOR_SCHEDULE_TEMPLATE|新增门诊医生排班替班记录
APT_OUTP_APPT_RECORD|通过病人id获取病人基本信息
BILL_ARREARAGE_DETAIL|翻译字段
BILL_ARREARAGE_MASTER|翻译字段
CARDINFO|新增门诊预交金记录表
CHA_BALANCE_VERITY_PROCESS_LOG|新增余额校验不平自动处理日志记录表
CHA_BED_SETTLE_EXAMINE|新增门诊订单缴费主表
CHA_BILL_APPLY_RECORD|新增票据领用记录
CHA_BILL_CONSUME_MASTER|新增账单消费流水表
CHA_BILL_IN_OUT_MASTER|新增票据领用记录
CHA_BILL_USED_RECORD|新增票据使用记录
CHA_CASE_BOOK_USE_RECORD|新增就诊卡押金记录表
CHA_CREDIT_MEDICAL_TREATMENT_TRADE_LOG|获取病人最新授权号
CHA_ELECTRONIC_BILL_CHECK_DETAIL|获取门诊单据数据
CHA_ELECTRONIC_BILL_CHECK_MASTER|获取门诊单据数据
CHA_ELECTRONIC_BILL_USED_RECORD|新增票据使用记录
CHA_ELECTRONIC_PRINT_RECORD|<p>标题: 电子发票打印记录</p>
CHA_HANDOVER_CASH_REVIEW|上缴现金审核表
CHA_INP_ACCOUNT_INVOICE_DETL|新增住院结账发票费用明细表
CHA_INP_ACCOUNT_MASTER|新增住院结账主表
CHA_INP_ACCOUNT_PREPAY_DETL|新增住院结账预交金支付明细表
CHA_INP_CHARGE_DETAIL|新增减免配置
CHA_INP_GUARANTEE_LIMIT|新增住院担保病人封顶线
CHA_INP_GUARANTEE_RECORD|单据查询语法
CHA_INP_ORDERS_DETAIL|新增住院订单缴费细表
CHA_INP_PREPAY_ACCOUNT|单据查询语法
CHA_INP_PREPAY_RECORD|新增住院结账主表
